assay	trim	split_seed	model	scope	pearson	spearman	n
pGL4	171	split_seed0	onehot_ridge_mean_ens	overall	0.19242121714075056	0.09934433711255856	242.0
pGL4	171	split_seed0	onehot_ridge_mean_ens	overall_non_excluded	0.19242121714075056	0.09934433711255856	242.0
pGL4	171	split_seed0	onehot_ridge_mean_ens	by_prefix			
pGL4	171	split_seed1	cnn_mean_ens	overall	0.6758211012014115	0.47154735200151215	242.0
pGL4	171	split_seed1	cnn_mean_ens	overall_non_excluded	0.6758211012014115	0.47154735200151215	242.0
pGL4	171	split_seed1	cnn_mean_ens	by_prefix			
pGL4	171	split_seed1	kmer_elasticnet_mean_ens	overall	0.6009422996639906	0.3558498305596927	242.0
pGL4	171	split_seed1	kmer_elasticnet_mean_ens	overall_non_excluded	0.6009422996639906	0.3558498305596927	242.0
pGL4	171	split_seed1	kmer_elasticnet_mean_ens	by_prefix			
pGL4	171	split_seed1	kmer_mean_ens	overall	0.6192380277820747	0.3556373022710978	242.0
pGL4	171	split_seed1	kmer_mean_ens	overall_non_excluded	0.6192380277820747	0.3556373022710978	242.0
pGL4	171	split_seed1	kmer_mean_ens	by_prefix			
pGL4	171	split_seed1	onehot_ridge_mean_ens	overall	0.2377596755846476	0.1819369159309811	242.0
pGL4	171	split_seed1	onehot_ridge_mean_ens	overall_non_excluded	0.2377596755846476	0.1819369159309811	242.0
pGL4	171	split_seed1	onehot_ridge_mean_ens	by_prefix			
pGL4	171	split_seed2	cnn_mean_ens	overall	0.6718457069782038	0.4841062141425791	242.0
pGL4	171	split_seed2	cnn_mean_ens	overall_non_excluded	0.6718457069782038	0.4841062141425791	242.0
pGL4	171	split_seed2	cnn_mean_ens	by_prefix			
pGL4	171	split_seed2	kmer_elasticnet_mean_ens	overall	0.5682147421719728	0.30513884293643073	242.0
pGL4	171	split_seed2	kmer_elasticnet_mean_ens	overall_non_excluded	0.5682147421719728	0.30513884293643073	242.0
pGL4	171	split_seed2	kmer_elasticnet_mean_ens	by_prefix			
pGL4	171	split_seed2	kmer_mean_ens	overall	0.5948322379147162	0.31898323461574285	242.0
pGL4	171	split_seed2	kmer_mean_ens	overall_non_excluded	0.5948322379147162	0.31898323461574285	242.0
pGL4	171	split_seed2	kmer_mean_ens	by_prefix			
pGL4	171	split_seed2	onehot_ridge_mean_ens	overall	0.2755548019695077	0.20862521562408223	242.0
pGL4	171	split_seed2	onehot_ridge_mean_ens	overall_non_excluded	0.2755548019695077	0.20862521562408223	242.0
pGL4	171	split_seed2	onehot_ridge_mean_ens	by_prefix			
pGL4	171	split_seed3	cnn_mean_ens	overall	0.7540016322738623	0.5919805184993159	242.0
pGL4	171	split_seed3	cnn_mean_ens	overall_non_excluded	0.7540016322738623	0.5919805184993159	242.0
pGL4	171	split_seed3	cnn_mean_ens	by_prefix			
pGL4	171	split_seed3	kmer_elasticnet_mean_ens	overall	0.648643395543804	0.4330862089087032	242.0
